Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
HST,"Host Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,17.17,32.39,22.6,-0.0031,4371334
HSY,The Hershey Company,Consumer Goods,Confectioners,USA,21.23,26.1,96.7,0.0067,639466
HUM,Humana Inc.,Healthcare,Health Care Plans,USA,20.82,21.86,137.47,0.0125,721885
IBM,International Business Machines Corporation,Technology,Information Technology Services,USA,162.46,10.31,164.16,0.0000,4276771
ICE,"Intercontinental Exchange, Inc.",Financial,Diversified Investments,USA,25.08,55.23,222.2,-0.0016,448436
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,USA,7.95,20.88,98.04,-0.0010,419033
INTC,Intel Corporation,Technology,Semiconductor - Broad Line,USA,164.15,16.24,34.24,0.0085,17413022
INTU,Intuit Inc.,Technology,Application Software,USA,25.9,30.64,90.93,0.0026,1803845
IP,International Paper Company,Consumer Goods,Packaging & Containers,USA,23.06,27.77,54.84,0.0075,1647776
IPG,"The Interpublic Group of Companies, Inc.",Services,Advertising Agencies,USA,8.13,23.42,19.59,0.0077,2506085
IR,Ingersoll-Rand Plc,Industrial Goods,Diversified Machinery,Ireland,16.62,23.71,62.52,-0.0011,1531063
IRM,Iron Mountain Inc.,Technology,Business Software & Services,USA,7.3,20.37,37.86,0.0045,1874604
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Appliances & Equipment,USA,18.57,44.46,511.39,-0.0016,173245
ITW,Illinois Tool Works Inc.,Industrial Goods,Diversified Machinery,USA,36.66,21.22,93.98,0.0021,1750982
IVZ,Invesco Ltd.,Financial,Asset Management,USA,17.3,18.67,39.81,-0.0085,2284594
JBL,Jabil Circuit Inc.,Technology,Printed Circuit Boards,USA,4.01,0,20.82,0.0053,2332649
JCI,Johnson Controls Inc.,Consumer Goods,Auto Parts,USA,32.91,23.2,49.72,0.0063,2244530
JEC,Jacobs Engineering Group Inc.,Services,Technical Services,USA,6.35,17.86,47.23,-0.0096,1070912
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - Major,USA,302.75,17.91,108.3,0.0013,5053705
JNPR,"Juniper Networks, Inc.",Technology,Networking & Communication Devices,USA,9.08,17.35,21.33,0.0162,6516916
